Name,Image,CountryCode,Number
Fideo No. 0,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_fideo_no0_500g.png,MEX,0
Capellini,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/klassikere_sv/3df_3030029785_1000012559_capellini_25x500g_intl.png,SWE,1
Capellini,https://www.barilla.com//-/media/images/ro_ro/poze-produse/capellini-final.png,ROU,1
Capellini,https://www.barilla.com//-/media/images/pt_br/mockups_blue_box/3df_bbnvi_capellini_500g_eu_3129_v11.png,BRA,1
Capellini,https://www.barilla.com//-/media/images/ch/products/groups/ranges/klassische_sorten/2022/capellini_302x87.png,CHE,1
Capellini,https://www.barilla.com//-/media/images/nl_nl/products/groups/ranges/klassische_sorten_nl/new/klassiekers_pack_capellini_new.png,NLD,1
Capellini,https://www.barilla.com//-/media/images/cs_cz/img_aktualizace/barilla_capellini.png,ROU,1
Capellini,https://www.barilla.com//-/media/images/be/products/groups/ranges/classiques_be/8076800195019--bb_capellini_1_500g.png,BEL,1
Capellini,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/classici_pack_nvi/capellini_1_500g.png,ITA,1
Angel Hair,https://www.barilla.com//-/media/images/en_sg/products/groups/ranges/classic-blue-box/a1_pb_id1_2_v2/3df_angelhair_productimage.png,SGP,1
CAPELLINI,https://www.barilla.com//-/media/images/tr_tr/products/groups/ranges/classic_tr/bluebox_capellini_new.png,TUR,1
Capellini,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/klassische_sorten/2022/capellini_302x87.png,DEU,1
Capellini,https://www.barilla.com//-/media/images/sl_si/capellini2.png,SVN,1
Capellini N°1,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/classiques/pack_nvi/3df_bbnvi_capellini_500g_eu.png,FRA,1
Capellini,https://www.barilla.com//-/media/images/hr_hr/capellini.png,HRV,1
Angel Hair,https://www.barilla.com//-/media/images/ko_kr/products/groups/ranges/classic-blue-box/a1_pb_id1_2_v2/3df_angelhair_productimage.png,KOR,1
Codo 1 Pronto Nal.,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/pronto/pronto_codo_340g.png,MEX,1
Capellini,https://www.barilla.com//-/media/images/el_gr/products/groups/ranges/classic-gr/3df_3030029914_1000675001capellini25x500ggrecia.png,GRC,1
Capellini,https://www.barilla.com//-/media/images/ro_ro/poze-produse/bb-clasic/capellini.png,HUN,1
Capellini,https://www.barilla.com//-/media/images/pl_pl/products/groups/ranges/classic_pl/new_barilla_capellini_500g.png,POL,1
Capellini,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_capellini_500g.png,MEX,1
Capellini,https://www.barilla.com//-/media/images/ca/products/new-product-shots/capellini-final.png,CAN,1
Cabello de Ángel,https://www.barilla.com//-/media/images/es_pr/new-products-2023/pastas-largas/5181066871barillaangelhaircopy.png,PRI,1
Angel Hair,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/classic-blue-box/blue-box-packaging-refresh-2022/barilla_angel-hair_pasta.png,USA,1
Protein+® Angel Hair,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/proteinplus/proteinplus_angelhair_2021.png,USA,1
Codo No. 2,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_codo_no2_160g.png,MEX,2
Fideo No. 2,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_fideo_no2_200g.png,MEX,2
Fideo Cut Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/classic-blue-box/blue-box-packaging-refresh-2022/barilla_fideo-cut-spaghetti_pasta.png,USA,2
Spaghettini,https://www.barilla.com//-/media/images/ch/products/groups/ranges/klassische_sorten/2022/spaghettini_302x87.png,CHE,3
Spaghettini,https://www.barilla.com//-/media/images/hr_hr/spaghettini.png,HRV,3
Spaghettini,https://www.barilla.com//-/media/images/en_sg/products/groups/ranges/classic-blue-box/3df_spaghettini_productimage.png,SGP,3
Spaghettini,https://www.barilla.com//-/media/images/pt_br/mockups_blue_box/3df_bbnvi_spaghettini_500g_eu_3129_v11.png,BRA,3
Spaghettini,https://www.barilla.com//-/media/images/en_au/products/groups/ranges/classic-blue-box/spaghettini_nvi.png,AUS,3
Spaghettini,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/klassische_sorten/2022/spaghettini_302x87.png,DEU,3
Spaghettini,https://www.barilla.com//-/media/images/sl_si/spaghettini.png,SVN,3
Spaghettini,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/classici_pack_nvi/spaghettini_3_500g.png,ITA,3
Spaghettini,https://www.barilla.com//-/media/images/be/products/groups/ranges/classiques_be/8076800195033-bb_spaghettini_3_500g.png,BEL,3
Spaghettini,https://www.barilla.com//-/media/images/el_gr/products/groups/ranges/classic-gr/3df_3030029794_1000675003spaghettini.png,GRC,3
Spaghettini,https://www.barilla.com//-/media/images/ro_ro/poze-produse/bb-clasic/spaghettini-500g.png,HUN,3
Spaghettini,https://www.barilla.com//-/media/images/cs_cz/img_aktualizace/barilla_spaghettini.png,CZE,3
Spaghettini,https://www.barilla.com//-/media/images/ro_ro/poze-produse/spaghettini-final.png,ROU,3
ספגטיני (מס' 3),https://www.barilla.com//-/media/images/he_il/products/il-products/3df_3030029794_1000675003spaghettini.webp,ISR,3
Spaghettini N°3,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/classiques/pack_nvi/3df_bbnvi_spaghettini_500g_eu.png,FRA,3
Spaghettini,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/klassikere_sv/3df_3030029776_1000009899_spaghettini_15x1000g_nordics_ba.png,SWE,3
Spaghettini,https://www.barilla.com//-/media/images/nl_nl/products/groups/ranges/klassische_sorten_nl/new/klassiekers_pack_spaghettini_new.png,NLD,3
Spaghettini,https://www.barilla.com//-/media/images/pl_pl/products/groups/ranges/classic_pl/new_barilla_spaghettini_500g.png,POL,3
Spaghettoni Al Bronzo,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/al-bronzo/packshot/albronzo_spaghettoni_400g_frontal_1000020507_8076809580823removebgpreview.png,DEU,3
Espagueti Delgado,https://www.barilla.com//-/media/images/es_pr/new-products-2023/pastas-largas/5181068064barillathinspaguetticopy.png,PRI,3
Spaghettoni Al Bronzo,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/al_bronzo/spaghettoni-al-bronzo_pack-400g_fr.png,ITA,3
Spaghettoni Al Bronzo,https://www.barilla.com//-/media/images/es_es/al-bronzo/spaghettoni-al-bronzo_pack-400g_fr-(1).png,ESP,3
Spaghettoni,https://www.barilla.com//-/media/images/ca/products/new-product-shots/microsoftteamsimage-(58).png,CAN,3
Spaghettoni Al Bronzo,https://www.barilla.com//-/media/images/de_de/issue-with-ch-images/albronzo_spaghettoni_400g_frontal_1000020507_8076809580823removebgpreview.png,DEU,3
Spaghettini Integrale,https://www.barilla.com//-/media/images/pt_br/products/groups/ranges/whole-grain/integrale_spaghettini_500g_front.png,BRA,3
Protein+® Thin Spaghetti ,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/proteinplus/proteinplus_thin--spaghetti_2021.png,USA,3
Spaghettoni Al Bronzo,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/al-bronzo/spaghettoni_al-bronzo_400g_fr.png,ITA,3
Spaghettini Integrali,https://www.barilla.com//-/media/images/it_it/products/aggiornamento_pasta_integrale/2023/integrale_spaghettini_new.png,ITA,3
Spaghettoni,https://www.barilla.com//-/media/images/pt_br/products/groups/ranges/food-service/3df_spaghettoni_7_5kg.png,BRA,3
Thin Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/classic-blue-box/blue-box-packaging-refresh-2022/barilla_thin-spaghetti-pasta.png,USA,3
Spaghettini integrale,https://www.barilla.com//-/media/images/hr_hr/3d_real_21164_integ_nvi_spaghettini_500g_eu_3129_v1_front.png,HRV,3
ΟΛΙΚΗΣ ΑΛΕΣΕΩΣ Spaghettini,https://www.barilla.com//-/media/images/el_gr/products/categories/integrale-spaghettini-2022.png,GRC,3
Spaghettini integrale,https://www.barilla.com//-/media/images/sl_si/3d_real_21164_integ_nvi_spaghettini_500g_eu_3129_v1_front.png,SVN,3
Spaghettini Integrale,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/integrale/3dreal22227integnvispaghettini500geu3129v1frontpng.png,DEU,3
Whole Grain Thin Spaghetti,https://www.barilla.com//-/media/images/en_us/products/groups/ranges/whole-grain/whole_grain_thin_spaghetti_front_v2.png,USA,3
Spaghettoni Al Bronzo,https://www.barilla.com//-/media/images/be/products/groups/ranges/al_bronzo_be/spaghettoni_al_bronzo_400g.png,BEL,3
Codo No. 4,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_codo_no4_500g.png,MEX,4
Spaghetti,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/klassikere_sv/spaghetti1kgpackage.png,SWE,5
Špageti,https://www.barilla.com//-/media/images/hr_hr/spaghetti.png,HRV,5
SPAGHETTI,https://www.barilla.com//-/media/images/tr_tr/products/groups/ranges/classic_tr/bluebox_spaghetti_new.png,TUR,5
Spaghetti No. 5,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/classic-blue-box/barilla_spaghetti_no5_500g.png,MEX,5
Spaghetti,https://www.barilla.com//-/media/images/sl_si/spaghetti.png,SVN,5
Spaghetti integrale n.5,https://www.barilla.com//-/media/images/sl_si/3d_real_16235_integ_nvi_spaghetti_500g_eu_3129_v1_front.png,SVN,5
